SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
101995,102011,0,1,1,0,3,5,United_States_of_America
101993,102011,0,1,0,0,3,4,United_States_of_America
101976,102019,0,1,0,0,3,4,United_States_of_America
101932,102020,0,1,0,0,3,4,United_States_of_America
101934,102020,0,1,0,0,3,4,United_States_of_America
101940,102029,0,1,0,0,3,4,United_States_of_America
101927,102040,0,1,0,0,3,4,United_States_of_America
101951,102041,0,1,0,0,3,4,United_States_of_America
101972,102046,0,1,0,0,3,4,United_States_of_America
101974,102056,0,1,0,0,3,4,United_States_of_America
101923,102059,0,1,0,0,3,4,United_States_of_America
